neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price
Sant Pere/Santa Caterina,41.38513,2.17791,Entire home/apt,1,1.0,1.0,1.0,86.0,70.0
Horta-Guinardó,41.41724,2.16692,Entire home/apt,5,1.0,2.0,3.0,92.0,75.0
Sant Gervasi - la Bonanova,41.40319,2.13655,Private room,2,1.5,1.0,1.0,84.0,39.0
Ciutat Vella,41.37961,2.17068,Private room,1,1.0,1.0,1.0,95.0,21.0
Eixample,41.40387,2.17599,Entire home/apt,4,1.0,2.0,2.0,92.0,84.0
Eixample,41.39288,2.16313,Entire home/apt,5,1.5,2.0,4.0,95.0,180.0
El Raval,41.38095,2.16427,Entire home/apt,9,3.0,5.0,8.0,93.0,140.0
Ciutat Vella,41.38813,2.17618,Entire home/apt,2,1.0,1.0,1.0,86.0,46.0
Les Corts,41.38522,2.13163,Private room,2,1.5,1.0,2.0,80.0,30.0
Eixample,41.40499,2.17232,Entire home/apt,5,1.0,2.0,3.0,87.0,75.0
Sant Antoni,41.37631,2.16425,Entire home/apt,2,1.0,1.0,1.0,98.0,100.0
L'Antiga Esquerra de l'Eixample,41.39183,2.15352,Entire home/apt,7,1.0,3.0,5.0,90.0,200.0
Sants-Montjuïc,41.37652,2.13152,Shared room,2,1.0,1.0,1.0,93.0,50.0
Eixample,41.38783,2.156,Private room,2,2.0,1.0,1.0,84.0,26.0
Sarrià-Sant Gervasi,41.39775,2.133,Entire home/apt,4,1.0,3.0,3.0,91.0,122.0
Eixample,41.40353,2.17192,Entire home/apt,6,2.0,3.0,3.0,93.0,150.0
Horta-Guinardó,41.42062,2.15786,Entire home/apt,8,2.0,3.0,7.0,80.0,400.0
Vila de Gràcia,41.39993,2.16332,Shared room,1,1.0,1.0,1.0,93.0,500.0
Eixample,41.38263,2.16136,Private room,2,1.0,1.0,1.0,88.0,62.0
Les Corts,41.38456,2.13978,Entire home/apt,14,3.0,5.0,14.0,95.0,200.0
El Raval,41.37654,2.17385,Private room,1,1.0,1.0,1.0,92.0,40.0
El Born,41.38483,2.18038,Entire home/apt,3,1.0,2.0,2.0,100.0,60.0
Ciutat Vella,41.38645,2.17148,Private room,3,1.0,1.0,2.0,90.0,50.0
Sant Martí,41.39992,2.20593,Entire home/apt,5,1.0,2.0,2.0,97.0,189.0
Ciutat Vella,41.37774,2.17068,Entire home/apt,4,1.0,1.0,2.0,100.0,56.0
Dreta de l'Eixample,41.38955,2.17515,Entire home/apt,8,3.0,3.0,5.0,80.0,320.0
Eixample,41.40838,2.17243,Private room,2,1.0,1.0,1.0,93.0,45.0
El Raval,41.37888,2.17315,Entire home/apt,4,2.0,2.0,3.0,89.0,500.0
Sants-Montjuïc,41.35678,2.13601,Entire home/apt,5,1.0,3.0,4.0,100.0,46.0
Sant Martí,41.39954,2.19738,Private room,2,1.0,2.0,1.0,96.0,50.0
El Poblenou,41.40232,2.19912,Private room,2,1.5,1.0,1.0,40.0,85.0
Sant Antoni,41.37541,2.16108,Private room,2,2.0,1.0,1.0,84.0,50.0
Dreta de l'Eixample,41.39902,2.17234,Private room,1,1.5,1.0,1.0,80.0,25.0
Sants-Montjuïc,41.37236,2.15862,Entire home/apt,2,1.0,1.0,1.0,91.0,70.0
El Gòtic,41.38352,2.17456,Private room,2,1.5,1.0,1.0,90.0,50.0
Sants-Montjuïc,41.37706,2.14334,Entire home/apt,4,1.0,2.0,2.0,93.0,54.0
Camp d'en Grassot i Gràcia Nova,41.40581,2.16717,Private room,2,2.0,1.0,1.0,100.0,47.0
Eixample,41.39038,2.17606,Entire home/apt,4,2.0,2.0,4.0,93.0,390.0
El Raval,41.38122,2.16409,Private room,2,1.0,1.0,1.0,97.0,50.0
Ciutat Vella,41.38459,2.18557,Entire home/apt,3,1.0,2.0,2.0,93.0,70.0
Eixample,41.37587,2.15375,Entire home/apt,6,1.0,4.0,4.0,86.0,90.0
Eixample,41.39368,2.16048,Entire home/apt,4,1.0,1.0,1.0,100.0,230.0
Ciutat Vella,41.38742,2.19604,Entire home/apt,8,2.0,3.0,6.0,95.0,100.0
Horta-Guinardó,41.42172,2.14808,Private room,2,1.0,1.0,1.0,90.0,26.0
Sants-Montjuïc,41.37945,2.13676,Shared room,1,1.0,1.0,6.0,96.0,30.0
Gràcia,41.40617,2.16622,Private room,2,1.0,1.0,1.0,100.0,30.0
Eixample,41.38597,2.16549,Entire home/apt,2,1.0,1.0,1.0,98.0,185.0
Ciutat Vella,41.38908,2.17767,Entire home/apt,5,2.0,3.0,4.0,95.0,220.0
el Fort Pienc,41.40099,2.17917,Private room,2,1.0,1.0,1.0,97.0,69.0
El Bon Pastor,41.43688,2.20495,Entire home/apt,6,1.0,2.0,6.0,93.0,60.0
L'Antiga Esquerra de l'Eixample,41.3921,2.15719,Entire home/apt,5,2.0,3.0,4.0,85.0,261.0
Sants-Montjuïc,41.3716,2.14164,Private room,2,4.0,1.0,1.0,96.0,50.0
Vila de Gràcia,41.39926,2.16167,Private room,2,1.0,1.0,1.0,87.0,59.0
Ciutat Vella,41.38007,2.17211,Entire home/apt,10,4.0,4.0,5.0,98.0,450.0
Eixample,41.40645,2.17049,Entire home/apt,5,1.0,2.0,4.0,93.0,80.0
Ciutat Vella,41.37903,2.17023,Entire home/apt,5,1.0,2.0,4.0,100.0,130.0
El Coll,41.42027,2.14873,Entire home/apt,6,1.0,2.0,5.0,92.0,60.0
El Gòtic,41.37959,2.17737,Entire home/apt,4,1.0,2.0,2.0,85.0,100.0
El Poble-sec,41.37305,2.1599,Private room,2,1.0,1.0,1.0,98.0,69.0
Sant Pere/Santa Caterina,41.3885,2.17689,Entire home/apt,2,1.0,2.0,2.0,100.0,35.0
Eixample,41.3803,2.14892,Private room,2,1.0,1.0,1.0,93.0,40.0
Sants-Montjuïc,41.36054,2.13545,Private room,2,1.0,0.0,2.0,84.0,33.0
El Raval,41.38096,2.17102,Private room,2,1.0,1.0,1.0,88.0,55.0
Nou Barris,41.42972,2.17767,Private room,2,1.0,1.0,2.0,93.0,9.0
Horta-Guinardó,41.41904,2.17428,Entire home/apt,5,1.0,2.0,2.0,93.0,69.0
Ciutat Vella,41.3804,2.18938,Private room,2,1.0,2.0,1.0,94.0,48.0
La Barceloneta,41.38139,2.18971,Entire home/apt,2,1.0,1.0,1.0,87.0,43.0
Eixample,41.3942,2.16253,Private room,2,1.0,1.0,1.0,93.0,250.0
La Nova Esquerra de l'Eixample,41.38725,2.15878,Entire home/apt,5,1.0,2.0,5.0,92.0,174.0
Sants-Montjuïc,41.37306,2.16101,Entire home/apt,2,1.0,1.0,1.0,93.0,85.0
El Clot,41.40988,2.1884,Entire home/apt,5,1.0,2.0,4.0,73.0,350.0
Sant Martí,41.41193,2.21556,Private room,1,2.0,1.0,1.0,100.0,18.0
El Poble-sec,41.37247,2.16465,Private room,2,1.0,1.0,1.0,97.0,25.0
Sants-Montjuïc,41.37362,2.14706,Private room,2,1.0,1.0,1.0,94.0,40.0
Porta,41.43753,2.17569,Private room,1,1.0,1.0,1.0,98.0,25.0
El Putget i Farró,41.40511,2.1436,Entire home/apt,6,1.0,2.0,2.0,95.0,110.0
Dreta de l'Eixample,41.39166,2.17731,Entire home/apt,6,2.0,2.0,3.0,91.0,200.0
Sants-Montjuïc,41.37558,2.13582,Private room,2,1.0,1.0,1.0,93.0,50.0
Sant Pere/Santa Caterina,41.38721,2.17641,Private room,2,1.0,1.0,2.0,95.0,35.0
La Sagrera,41.42373,2.18511,Private room,3,1.0,1.0,2.0,88.0,30.0
L'Antiga Esquerra de l'Eixample,41.38912,2.1552,Private room,2,1.0,1.0,1.0,100.0,60.0
Sant Antoni,41.37535,2.16343,Entire home/apt,6,2.0,4.0,6.0,88.0,105.0
El Born,41.38484,2.17957,Private room,3,1.0,1.0,2.0,82.0,36.0
La Sagrera,41.4229,2.18733,Private room,2,1.0,1.0,1.0,91.0,50.0
El Poblenou,41.40273,2.20594,Private room,2,2.0,1.0,1.0,96.0,43.0
Sant Gervasi - Galvany,41.40229,2.14359,Private room,2,1.0,1.0,1.0,100.0,40.0
El Raval,41.37964,2.16598,Entire home/apt,6,1.0,2.0,3.0,80.0,63.0
Eixample,41.38063,2.16169,Entire home/apt,6,1.0,4.0,6.0,93.0,86.0
Sant Martí,41.41877,2.20126,Private room,2,1.0,1.0,1.0,88.0,35.0
Ciutat Vella,41.38362,2.17142,Entire home/apt,4,1.0,2.0,2.0,93.0,55.0
Dreta de l'Eixample,41.40068,2.17246,Entire home/apt,4,1.0,2.0,2.0,95.0,95.0
Glòries - El Parc,41.39127,2.18451,Private room,2,1.0,1.0,1.0,98.0,40.0
Sant Andreu,41.44468,2.18878,Entire home/apt,5,1.0,3.0,4.0,98.0,91.0
Eixample,41.38298,2.15778,Private room,2,1.0,1.0,1.0,93.0,79.0
Eixample,41.40208,2.18352,Entire home/apt,7,2.0,4.0,7.0,92.0,120.0
Sant Antoni,41.38211,2.16206,Entire home/apt,5,1.5,3.0,5.0,94.0,129.0
La Nova Esquerra de l'Eixample,41.38114,2.1562,Private room,1,1.0,1.0,1.0,73.0,20.0
Vila de Gràcia,41.40578,2.15421,Entire home/apt,6,1.0,2.0,5.0,95.0,85.0
Eixample,41.37556,2.16451,Private room,2,1.0,1.0,1.0,100.0,100.0
Eixample,41.39712,2.17098,Entire home/apt,6,2.0,2.0,4.0,84.0,350.0
Sant Martí,41.41297,2.17805,Entire home/apt,4,1.0,2.0,3.0,93.0,60.0
El Gòtic,41.38067,2.17417,Private room,3,1.0,1.0,2.0,74.0,52.0
Eixample,41.40695,2.17496,Private room,2,1.5,1.0,1.0,100.0,30.0
Eixample,41.38889,2.17313,Entire home/apt,4,1.0,1.0,2.0,97.0,121.0
Ciutat Vella,41.38262,2.17399,Private room,2,2.0,1.0,1.0,99.0,55.0
Eixample,41.38642,2.15532,Entire home/apt,2,1.0,1.0,1.0,100.0,65.0
Vila de Gràcia,41.40742,2.15756,Entire home/apt,4,1.0,1.0,2.0,90.0,120.0
Ciutat Vella,41.37818,2.17476,Private room,4,2.0,1.0,2.0,93.0,35.0
Sant Antoni,41.38223,2.16028,Entire home/apt,5,2.0,3.0,3.0,90.0,90.0
La Vila Olímpica,41.38774,2.19672,Entire home/apt,3,1.0,2.0,2.0,89.0,95.0
Ciutat Vella,41.38365,2.18234,Entire home/apt,2,1.0,1.0,1.0,90.0,40.0
La Barceloneta,41.37725,2.18845,Entire home/apt,2,1.0,0.0,2.0,87.0,33.0
La Vila Olímpica,41.39046,2.19933,Entire home/apt,8,2.0,3.0,6.0,88.0,239.0
Eixample,41.38439,2.161,Entire home/apt,4,1.0,1.0,2.0,92.0,53.0
Sant Antoni,41.3813,2.16275,Private room,2,1.0,1.0,1.0,92.0,67.0
Eixample,41.38622,2.16762,Entire home/apt,6,1.0,2.0,4.0,95.0,99.0
Eixample,41.40905,2.1779,Entire home/apt,6,1.0,2.0,4.0,98.0,99.0
Sant Martí,41.38735,2.19853,Entire home/apt,10,2.0,4.0,8.0,90.0,350.0
Sants-Montjuïc,41.37766,2.13916,Private room,4,1.0,3.0,4.0,84.0,95.0
Horta-Guinardó,41.42163,2.17125,Private room,2,1.0,1.0,2.0,96.0,38.0
Sants-Montjuïc,41.37504,2.13386,Private room,2,1.0,3.0,2.0,93.0,68.0
Eixample,41.37847,2.1518,Private room,2,1.0,1.0,1.0,93.0,38.0
Ciutat Vella,41.38352,2.18576,Private room,1,2.0,1.0,1.0,93.0,300.0
Eixample,41.40433,2.17261,Entire home/apt,4,1.0,2.0,3.0,100.0,80.0
Sants-Montjuïc,41.37703,2.14414,Private room,2,1.0,1.0,1.0,95.0,65.0
El Raval,41.38421,2.16712,Private room,3,1.0,1.0,2.0,93.0,80.0
Provençals del Poblenou,41.40848,2.20101,Private room,3,1.0,1.0,2.0,93.0,50.0
Eixample,41.39651,2.1719,Entire home/apt,6,2.0,2.0,4.0,80.0,350.0
Sants-Montjuïc,41.37572,2.14405,Private room,2,1.0,1.0,1.0,93.0,42.0
Eixample,41.39366,2.15837,Entire home/apt,4,2.5,2.0,2.0,92.0,211.0
Sant Pere/Santa Caterina,41.38469,2.18465,Private room,2,1.0,1.0,1.0,94.0,34.0
Sant Antoni,41.37959,2.16214,Private room,2,1.0,1.0,1.0,100.0,50.0
La Teixonera,41.42306,2.14851,Entire home/apt,5,1.0,3.0,4.0,89.0,78.0
La Barceloneta,41.38158,2.18711,Entire home/apt,5,1.0,3.0,3.0,93.0,70.0
L'Antiga Esquerra de l'Eixample,41.3867,2.15672,Entire home/apt,4,1.0,2.0,2.0,93.0,145.0
Les Corts,41.39067,2.13916,Private room,2,2.0,1.0,1.0,85.0,39.0
Sarrià-Sant Gervasi,41.39465,2.14774,Entire home/apt,2,1.0,1.0,1.0,99.0,215.0
Les Corts,41.37581,2.12237,Private room,2,1.0,1.0,1.0,100.0,150.0
Vila de Gràcia,41.39742,2.16006,Private room,2,2.0,1.0,1.0,100.0,250.0
Sants-Montjuïc,41.37267,2.16785,Private room,2,1.5,1.0,0.0,93.0,50.0
Ciutat Vella,41.38884,2.17712,Entire home/apt,2,1.0,1.0,1.0,60.0,150.0
Sant Martí,41.40416,2.21274,Entire home/apt,8,2.0,3.0,6.0,86.0,162.0
