neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price
La Barceloneta,41.37704,2.1901,Entire home/apt,2,2.0,1.0,1.0,93.0,110.0
El Poble-sec,41.37344,2.15891,Entire home/apt,6,1.0,2.0,5.0,83.0,179.0
Ciutat Vella,41.38386,2.18229,Entire home/apt,2,1.0,0.0,1.0,80.0,75.0
Sant Martí,41.41212,2.18906,Private room,2,1.0,1.0,1.0,93.0,50.0
Eixample,41.40281,2.18049,Entire home/apt,2,1.0,1.0,1.0,90.0,114.0
Gràcia,41.3989,2.15817,Entire home/apt,4,1.0,1.0,2.0,87.0,99.0
Sant Gervasi - Galvany,41.39295,2.14408,Entire home/apt,6,2.0,3.0,3.0,98.0,248.0
Turó de la Peira - Can Peguera,41.4329,2.16908,Private room,1,1.0,1.0,1.0,93.0,16.0
Sant Martí,41.41923,2.20192,Private room,2,1.0,1.0,2.0,100.0,60.0
Les Corts,41.38251,2.13329,Entire home/apt,4,2.0,1.0,2.0,98.0,100.0
Eixample,41.38845,2.166,Entire home/apt,6,2.5,2.0,4.0,98.0,300.0
Eixample,41.38287,2.15902,Private room,2,1.0,1.0,1.0,100.0,60.0
Sant Andreu,41.43326,2.18524,Private room,2,1.0,1.0,1.0,96.0,36.0
El Born,41.38497,2.183,Private room,1,1.0,1.0,1.0,98.0,42.0
Dreta de l'Eixample,41.38986,2.1671,Entire home/apt,12,2.0,6.0,10.0,78.0,210.0
El Poble-sec,41.37285,2.15973,Private room,2,1.0,1.0,1.0,98.0,39.0
Sants-Montjuïc,41.37563,2.14596,Entire home/apt,4,1.0,1.0,2.0,83.0,128.0
Camp d'en Grassot i Gràcia Nova,41.4095,2.15938,Entire home/apt,4,1.0,1.0,1.0,92.0,75.0
Dreta de l'Eixample,41.39521,2.17139,Entire home/apt,7,2.0,3.0,4.0,84.0,600.0
Sant Pere/Santa Caterina,41.38856,2.17674,Entire home/apt,16,2.5,6.0,16.0,91.0,350.0
Eixample,41.40153,2.18072,Private room,2,1.0,1.0,2.0,96.0,69.0
Ciutat Vella,41.38161,2.17667,Private room,2,1.5,1.0,1.0,80.0,48.0
Eixample,41.39138,2.1715,Entire home/apt,7,2.0,3.0,5.0,91.0,221.0
Gràcia,41.41949,2.15082,Entire home/apt,4,1.0,1.0,1.0,97.0,65.0
La Nova Esquerra de l'Eixample,41.38284,2.14933,Private room,1,1.0,1.0,1.0,78.0,45.0
L'Antiga Esquerra de l'Eixample,41.38853,2.15928,Entire home/apt,6,2.0,3.0,5.0,91.0,150.0
Eixample,41.38833,2.15464,Entire home/apt,6,1.0,3.0,4.0,91.0,155.0
Sants-Montjuïc,41.37425,2.16624,Entire home/apt,4,1.0,1.0,2.0,93.0,64.0
El Raval,41.37699,2.17254,Private room,2,1.0,0.0,1.0,93.0,50.0
Ciutat Vella,41.38271,2.18343,Private room,2,1.0,1.0,2.0,92.0,159.0
Eixample,41.4053,2.18297,Shared room,2,1.0,1.0,2.0,93.0,24.0
Dreta de l'Eixample,41.3913,2.16229,Entire home/apt,4,1.0,1.0,1.0,90.0,140.0
Vila de Gràcia,41.39771,2.16046,Entire home/apt,4,1.0,2.0,2.0,92.0,120.0
Ciutat Vella,41.37718,2.17776,Private room,2,1.0,1.0,1.0,96.0,63.0
Sarrià-Sant Gervasi,41.41046,2.14049,Private room,2,1.0,1.0,1.0,93.0,100.0
Vila de Gràcia,41.39709,2.1576,Entire home/apt,6,2.0,3.0,4.0,100.0,115.0
La Sagrada Família,41.40264,2.17561,Entire home/apt,5,1.0,3.0,3.0,95.0,196.0
El Putget i Farró,41.40766,2.14447,Entire home/apt,7,2.0,3.0,6.0,93.0,150.0
Sant Martí,41.41222,2.18091,Entire home/apt,4,1.0,2.0,3.0,93.0,3000.0
Glòries - El Parc,41.39567,2.19189,Shared room,2,1.0,1.0,1.0,93.0,75.0
Ciutat Vella,41.38634,2.18037,Entire home/apt,4,1.0,2.0,2.0,83.0,140.0
Ciutat Vella,41.3786,2.16453,Private room,2,1.0,1.0,1.0,100.0,120.0
Eixample,41.37943,2.15682,Private room,4,1.5,1.0,2.0,98.0,50.0
L'Antiga Esquerra de l'Eixample,41.38571,2.15144,Private room,1,1.0,1.0,1.0,93.0,40.0
Eixample,41.38967,2.15401,Entire home/apt,6,2.0,4.0,6.0,89.0,190.0
Eixample,41.39347,2.17055,Entire home/apt,8,2.0,4.0,4.0,93.0,129.0
Vilapicina i la Torre Llobeta,41.42956,2.17037,Private room,2,1.0,1.0,1.0,81.0,35.0
Vila de Gràcia,41.40002,2.15867,Private room,4,1.0,1.0,2.0,97.0,95.0
Eixample,41.37753,2.15296,Private room,2,2.0,1.0,1.0,80.0,33.0
Sarrià,41.39849,2.12351,Entire home/apt,5,1.5,2.0,3.0,87.0,84.0
Ciutat Vella,41.38251,2.18286,Entire home/apt,8,2.0,4.0,6.0,94.0,700.0
Ciutat Vella,41.38278,2.1862,Entire home/apt,3,1.0,2.0,2.0,92.0,80.0
Sants-Montjuïc,41.37393,2.12744,Entire home/apt,4,1.5,1.0,2.0,77.0,89.0
Sant Martí,41.40549,2.21091,Entire home/apt,2,1.0,1.0,1.0,98.0,120.0
Camp d'en Grassot i Gràcia Nova,41.40571,2.16931,Private room,2,1.0,1.0,1.0,20.0,60.0
Les Corts,41.38614,2.13506,Private room,3,2.0,2.0,2.0,93.0,100.0
El Raval,41.37675,2.17084,Private room,3,1.0,2.0,2.0,89.0,33.0
Sant Antoni,41.38148,2.15997,Private room,2,1.5,1.0,1.0,93.0,24.0
Sant Martí,41.40477,2.2166,Entire home/apt,4,2.0,2.0,3.0,100.0,139.0
Sant Martí,41.41017,2.21295,Private room,2,1.0,0.0,2.0,99.0,35.0
Vila de Gràcia,41.39979,2.15812,Shared room,12,2.0,1.0,12.0,100.0,8000.0
Sant Pere/Santa Caterina,41.38888,2.17584,Private room,1,2.0,1.0,1.0,93.0,50.0
Dreta de l'Eixample,41.39559,2.16467,Entire home/apt,6,2.0,3.0,0.0,93.0,162.0
Les Corts,41.38778,2.13539,Entire home/apt,6,2.0,4.0,6.0,93.0,178.0
Sant Pere/Santa Caterina,41.38362,2.18272,Private room,2,1.5,1.0,3.0,94.0,55.0
Sants-Montjuïc,41.38268,2.13807,Private room,2,1.0,1.0,1.0,90.0,32.0
Sants-Montjuïc,41.37292,2.16018,Entire home/apt,5,1.0,2.0,2.0,87.0,113.0
El Poblenou,41.39967,2.20319,Private room,2,1.5,3.0,1.0,95.0,85.0
Gràcia,41.4106,2.15467,Private room,2,1.0,1.0,1.0,88.0,45.0
Sant Martí,41.39143,2.20035,Entire home/apt,6,2.0,3.0,5.0,90.0,139.0
Sants-Montjuïc,41.37063,2.16548,Entire home/apt,6,1.5,3.0,5.0,75.0,169.0
Vila de Gràcia,41.39996,2.15752,Private room,2,2.0,1.0,1.0,93.0,8000.0
Ciutat Vella,41.38025,2.16451,Private room,2,1.0,1.0,1.0,98.0,190.0
Nou Barris,41.44551,2.17658,Private room,2,1.0,1.0,1.0,100.0,35.0
El Coll,41.41881,2.15038,Private room,1,1.0,1.0,1.0,100.0,32.0
Sarrià-Sant Gervasi,41.4045,2.14285,Private room,1,1.0,1.0,1.0,93.0,30.0
El Poble-sec,41.37155,2.16503,Private room,2,1.0,1.0,1.0,100.0,48.0
La Barceloneta,41.38224,2.18766,Private room,2,1.0,1.0,1.0,94.0,35.0
Eixample,41.3916,2.16667,Private room,4,1.0,1.0,2.0,80.0,150.0
Eixample,41.39765,2.16721,Private room,2,1.0,1.0,1.0,96.0,60.0
Eixample,41.38245,2.14566,Private room,1,1.0,1.0,1.0,93.0,40.0
Gràcia,41.4114,2.16202,Entire home/apt,8,2.0,3.0,6.0,99.0,210.0
Eixample,41.3805,2.16089,Private room,2,1.0,1.0,1.0,78.0,38.0
Sant Pere/Santa Caterina,41.38675,2.17769,Private room,3,1.0,1.0,2.0,93.0,85.0
Ciutat Vella,41.38445,2.17947,Private room,1,1.0,1.0,1.0,93.0,20.0
Ciutat Vella,41.38046,2.17754,Entire home/apt,6,1.0,2.0,5.0,100.0,90.0
Eixample,41.39068,2.15867,Shared room,1,0.5,1.0,4.0,100.0,19.0
Sants-Montjuïc,41.37311,2.16836,Entire home/apt,2,1.0,1.0,2.0,89.0,99.0
Ciutat Vella,41.38492,2.17983,Private room,2,1.0,1.0,1.0,100.0,39.0
Sant Andreu,41.41586,2.18685,Private room,1,1.0,2.0,2.0,99.0,24.0
Ciutat Vella,41.38105,2.19227,Entire home/apt,4,1.0,2.0,3.0,92.0,95.0
Ciutat Vella,41.38101,2.17532,Private room,2,1.0,1.0,1.0,93.0,100.0
Les Corts,41.38276,2.13315,Private room,1,1.0,1.0,1.0,92.0,40.0
Sant Martí,41.38597,2.20261,Entire home/apt,4,1.0,2.0,2.0,100.0,95.0
Gràcia,41.40682,2.16012,Entire home/apt,6,1.0,2.0,2.0,94.0,155.0
Ciutat Vella,41.37944,2.17815,Private room,2,2.0,1.0,1.0,88.0,50.0
Sant Martí,41.41112,2.17718,Entire home/apt,4,2.0,2.0,3.0,100.0,55.0
Sant Martí,41.39614,2.2026,Private room,2,1.0,1.0,1.0,93.0,15.0
Eixample,41.39769,2.17636,Entire home/apt,3,1.0,2.0,2.0,87.0,80.0
Porta,41.43714,2.17695,Private room,3,1.0,1.0,1.0,87.0,37.0
Eixample,41.38888,2.1662,Entire home/apt,5,2.0,3.0,4.0,100.0,163.0
El Born,41.38475,2.18214,Private room,1,1.0,1.0,1.0,96.0,52.0
Les Corts,41.38287,2.12814,Entire home/apt,5,1.0,2.0,4.0,73.0,129.0
Eixample,41.40648,2.17408,Entire home/apt,6,1.0,2.0,4.0,91.0,170.0
Horta-Guinardó,41.42223,2.16938,Private room,1,1.0,1.0,1.0,93.0,85.0
Gràcia,41.41711,2.14938,Private room,4,1.0,1.0,2.0,73.0,100.0
Horta-Guinardó,41.41923,2.17769,Entire home/apt,3,1.0,1.0,2.0,93.0,45.0
Sant Martí de Provençals,41.4195,2.20092,Entire home/apt,7,1.5,3.0,4.0,93.0,99.0
La Nova Esquerra de l'Eixample,41.38583,2.15949,Entire home/apt,4,2.0,2.0,2.0,93.0,100.0
El Raval,41.37714,2.17305,Private room,2,1.0,1.0,1.0,75.0,19.0
Les Corts,41.38607,2.14014,Entire home/apt,6,2.0,3.0,5.0,98.0,100.0
Eixample,41.39504,2.16917,Entire home/apt,2,1.0,1.0,1.0,97.0,130.0
La Nova Esquerra de l'Eixample,41.38086,2.15539,Entire home/apt,7,1.0,4.0,5.0,97.0,90.0
El Raval,41.37691,2.1682,Private room,1,2.0,1.0,1.0,91.0,49.0
Sant Martí,41.41184,2.18025,Entire home/apt,4,1.0,2.0,3.0,93.0,155.0
Dreta de l'Eixample,41.39265,2.17324,Entire home/apt,4,2.0,2.0,2.0,94.0,146.0
Eixample,41.39339,2.17957,Entire home/apt,7,2.0,3.0,4.0,92.0,116.0
Dreta de l'Eixample,41.39739,2.17214,Entire home/apt,6,2.0,2.0,4.0,78.0,350.0
Sarrià-Sant Gervasi,41.40069,2.14774,Private room,2,1.5,1.0,1.0,95.0,99.0
Eixample,41.38603,2.16397,Entire home/apt,10,3.0,5.0,8.0,94.0,500.0
Sarrià-Sant Gervasi,41.39352,2.14386,Entire home/apt,4,2.0,2.0,3.0,94.0,285.0
Sant Martí,41.40065,2.20761,Entire home/apt,7,2.0,3.0,6.0,93.0,140.0
El Raval,41.38121,2.16617,Entire home/apt,3,1.0,1.0,1.0,93.0,140.0
El Baix Guinardó,41.41258,2.16621,Private room,1,1.0,1.0,1.0,95.0,18.0
L'Antiga Esquerra de l'Eixample,41.38634,2.14404,Private room,1,1.0,1.0,1.0,90.0,40.0
Nou Barris,41.4295,2.1812,Private room,4,1.0,1.0,2.0,88.0,34.0
Sants-Montjuïc,41.37295,2.16837,Entire home/apt,4,1.0,2.0,2.0,90.0,35.0
Eixample,41.38798,2.17056,Private room,1,2.0,1.0,1.0,93.0,31.0
Eixample,41.40023,2.18383,Private room,2,1.0,1.0,1.0,94.0,25.0
Sarrià-Sant Gervasi,41.40296,2.13777,Private room,1,1.0,1.0,1.0,100.0,33.0
Sants-Montjuïc,41.37289,2.14958,Entire home/apt,5,1.0,2.0,4.0,93.0,121.0
Sants-Montjuïc,41.36783,2.14186,Private room,4,1.5,2.0,3.0,93.0,54.0
Sarrià-Sant Gervasi,41.40427,2.13723,Private room,4,1.5,2.0,2.0,98.0,98.0
Eixample,41.37554,2.16069,Entire home/apt,4,1.0,2.0,3.0,91.0,119.0
Sants-Montjuïc,41.37259,2.13299,Entire home/apt,4,1.0,2.0,2.0,100.0,60.0
Sant Martí,41.39625,2.18734,Entire home/apt,4,1.0,2.0,4.0,88.0,140.0
Nou Barris,41.46156,2.17588,Private room,1,1.0,1.0,1.0,84.0,19.0
Les Corts,41.38113,2.12858,Private room,2,1.0,1.0,1.0,97.0,40.0
Vila de Gràcia,41.39867,2.15962,Entire home/apt,6,1.5,2.0,3.0,100.0,177.0
Eixample,41.39332,2.17703,Private room,1,1.0,1.0,1.0,95.0,25.0
El Baix Guinardó,41.4087,2.1705,Entire home/apt,5,2.0,3.0,4.0,96.0,100.0
Sant Gervasi - Galvany,41.39416,2.13868,Entire home/apt,9,2.5,5.0,5.0,93.0,140.0
L'Antiga Esquerra de l'Eixample,41.39233,2.15481,Entire home/apt,6,1.0,2.0,4.0,87.0,180.0
El Baix Guinardó,41.41122,2.16858,Private room,1,1.0,1.0,1.0,93.0,17.0
El Poble-sec,41.37411,2.16285,Entire home/apt,8,2.0,3.0,6.0,93.0,120.0
El Putget i Farró,41.41073,2.13978,Private room,2,1.0,1.0,1.0,93.0,40.0
Sant Andreu,41.42291,2.17886,Private room,3,1.0,1.0,2.0,96.0,38.0
Eixample,41.39024,2.1741,Private room,3,1.0,1.0,3.0,93.0,2000.0
Gràcia,41.40753,2.16347,Entire home/apt,6,2.0,3.0,6.0,93.0,53.0
Ciutat Vella,41.37922,2.176,Entire home/apt,4,1.0,1.0,3.0,78.0,67.0
La Sagrada Família,41.40656,2.17894,Private room,2,1.0,1.0,1.0,95.0,45.0
Sants-Montjuïc,41.37309,2.13962,Private room,4,1.0,1.0,1.0,74.0,65.0
Vila de Gràcia,41.40141,2.16218,Private room,2,1.0,1.0,1.0,100.0,69.0
La Vila Olímpica,41.38738,2.19483,Private room,2,1.0,1.0,1.0,98.0,35.0
Ciutat Vella,41.37778,2.17796,Private room,2,1.0,1.0,2.0,95.0,21.0
Ciutat Vella,41.38547,2.16874,Private room,2,1.0,1.0,1.0,100.0,47.0
El Raval,41.3798,2.16699,Private room,2,1.0,3.0,1.0,91.0,35.0
Sants-Montjuïc,41.37615,2.13707,Entire home/apt,5,2.5,3.0,4.0,79.0,92.0
Camp d'en Grassot i Gràcia Nova,41.408,2.1652,Private room,2,1.5,1.0,2.0,97.0,52.0
Nou Barris,41.46229,2.17799,Private room,2,1.0,1.0,1.0,97.0,30.0
Sants-Montjuïc,41.37067,2.14837,Entire home/apt,6,1.0,2.0,4.0,87.0,100.0
el Fort Pienc,41.39615,2.17988,Entire home/apt,4,1.0,2.0,2.0,93.0,75.0
Ciutat Vella,41.38313,2.18409,Private room,2,1.0,1.0,1.0,93.0,92.0
Ciutat Vella,41.38132,2.17497,Private room,2,1.5,1.0,2.0,93.0,135.0
El Camp de l'Arpa del Clot,41.41211,2.18114,Entire home/apt,4,1.0,2.0,3.0,93.0,155.0
Porta,41.43222,2.18029,Private room,2,1.0,1.0,1.0,98.0,50.0
Sant Pere/Santa Caterina,41.38544,2.18093,Entire home/apt,2,1.0,1.0,2.0,80.0,34.0
Horta-Guinardó,41.41002,2.16514,Entire home/apt,4,1.0,2.0,3.0,100.0,53.0
La Nova Esquerra de l'Eixample,41.37921,2.15274,Private room,3,1.0,1.0,3.0,98.0,30.0
Gràcia,41.40387,2.15505,Entire home/apt,7,2.0,2.0,5.0,87.0,85.0
Sant Pere/Santa Caterina,41.38807,2.17922,Entire home/apt,4,1.0,1.0,2.0,92.0,120.0
Eixample,41.38643,2.1457,Entire home/apt,6,1.0,2.0,2.0,94.0,85.0
Eixample,41.37883,2.15968,Private room,2,1.0,1.0,1.0,98.0,34.0
Camp d'en Grassot i Gràcia Nova,41.40496,2.169,Private room,2,1.5,1.0,1.0,95.0,65.0
Eixample,41.37529,2.16029,Private room,4,2.0,1.0,2.0,84.0,85.0
Ciutat Vella,41.38536,2.16749,Entire home/apt,2,1.5,1.0,1.0,93.0,54.0
Eixample,41.38515,2.14452,Private room,4,2.0,1.0,2.0,94.0,50.0
Sants-Montjuïc,41.37173,2.16396,Entire home/apt,4,1.5,1.0,2.0,93.0,70.0
Ciutat Vella,41.3844,2.16877,Entire home/apt,2,1.0,1.0,1.0,80.0,41.0
Ciutat Vella,41.3841,2.17484,Entire home/apt,4,3.0,2.0,2.0,93.0,200.0
Sant Pere/Santa Caterina,41.38724,2.17977,Entire home/apt,6,2.0,2.0,3.0,86.0,188.0
Nou Barris,41.43927,2.17001,Private room,1,1.0,1.0,1.0,93.0,45.0
Sants-Montjuïc,41.37656,2.12609,Entire home/apt,6,2.0,2.0,4.0,91.0,169.0
Dreta de l'Eixample,41.3861,2.16713,Private room,4,1.0,2.0,3.0,100.0,99.0
Dreta de l'Eixample,41.39594,2.16133,Entire home/apt,6,2.0,2.0,3.0,85.0,100.0
Horta-Guinardó,41.41182,2.17264,Private room,1,1.0,1.0,1.0,80.0,21.0
Eixample,41.37708,2.16078,Private room,2,2.0,2.0,2.0,87.0,50.0
Nou Barris,41.45972,2.17703,Private room,1,1.0,1.0,1.0,96.0,30.0
Gràcia,41.40049,2.15737,Entire home/apt,2,1.0,1.0,1.0,89.0,115.0
El Gòtic,41.38307,2.17945,Private room,2,1.0,1.0,2.0,95.0,40.0
El Raval,41.38229,2.16426,Private room,3,1.0,1.0,2.0,80.0,80.0
Sant Martí,41.41426,2.19442,Private room,1,1.5,1.0,1.0,84.0,18.0
Eixample,41.38676,2.16913,Entire home/apt,4,1.0,1.0,3.0,93.0,115.0
Eixample,41.38571,2.15941,Entire home/apt,2,2.0,1.0,2.0,100.0,53.0
La Barceloneta,41.37766,2.18907,Entire home/apt,2,1.0,1.0,1.0,85.0,63.0
Eixample,41.39006,2.17613,Entire home/apt,4,2.0,2.0,4.0,100.0,420.0
Dreta de l'Eixample,41.38913,2.16346,Private room,2,1.0,1.0,2.0,90.0,49.0
Sant Martí,41.39181,2.18877,Private room,1,1.5,4.0,4.0,93.0,35.0
Eixample,41.38622,2.16058,Entire home/apt,6,1.0,2.0,5.0,90.0,90.0
Eixample,41.39222,2.17411,Entire home/apt,6,2.0,3.0,5.0,82.0,99.0
Eixample,41.37943,2.15646,Private room,4,1.5,2.0,2.0,96.0,61.0
Eixample,41.39062,2.17609,Private room,2,1.0,1.0,2.0,90.0,159.0
Ciutat Vella,41.38164,2.17423,Private room,2,1.0,1.0,1.0,94.0,40.0
El Poblenou,41.39941,2.20668,Entire home/apt,4,1.0,2.0,3.0,93.0,140.0
Eixample,41.38954,2.1593,Shared room,1,0.5,1.0,6.0,96.0,19.0
Eixample,41.38596,2.14438,Private room,1,1.0,0.0,1.0,93.0,22.0
Sant Antoni,41.38278,2.16119,Entire home/apt,6,2.0,3.0,4.0,95.0,159.0
La Nova Esquerra de l'Eixample,41.37959,2.15393,Entire home/apt,6,2.0,4.0,6.0,93.0,80.0
Sant Martí,41.40614,2.1906,Private room,1,1.0,1.0,1.0,95.0,30.0
La Sagrada Família,41.40586,2.17056,Entire home/apt,6,2.0,4.0,4.0,95.0,183.0
Glòries - El Parc,41.3919,2.18774,Private room,1,1.5,1.0,1.0,93.0,30.0
Sants-Montjuïc,41.37282,2.16228,Private room,2,1.5,1.0,1.0,100.0,55.0
Ciutat Vella,41.38491,2.18027,Entire home/apt,6,1.0,3.0,5.0,94.0,90.0
Ciutat Vella,41.38954,2.17853,Entire home/apt,2,1.0,0.0,1.0,93.0,38.0
Eixample,41.39126,2.15728,Entire home/apt,7,2.0,3.0,4.0,100.0,400.0
Sant Antoni,41.37634,2.16126,Private room,2,1.0,1.0,1.0,95.0,45.0
Ciutat Vella,41.3812,2.17705,Entire home/apt,4,1.0,2.0,2.0,60.0,35.0
El Poble-sec,41.37183,2.16566,Entire home/apt,4,1.0,1.0,2.0,97.0,110.0
Ciutat Vella,41.38568,2.18144,Private room,2,1.0,1.0,1.0,91.0,24.0
Gràcia,41.39912,2.16131,Entire home/apt,6,1.0,2.0,5.0,85.0,81.0
Dreta de l'Eixample,41.38937,2.16358,Private room,3,1.0,0.0,2.0,92.0,89.0
Sant Andreu,41.44312,2.18776,Private room,2,1.0,1.0,1.0,75.0,35.0
El Poble-sec,41.37487,2.1606,Entire home/apt,6,1.0,4.0,4.0,90.0,170.0
Camp d'en Grassot i Gràcia Nova,41.40511,2.1677,Private room,2,1.0,1.0,1.0,100.0,49.0
La Maternitat i Sant Ramon,41.37856,2.12532,Private room,1,2.0,1.0,1.0,94.0,25.0
Ciutat Vella,41.37953,2.16886,Entire home/apt,2,1.0,1.0,1.0,87.0,90.0
Ciutat Vella,41.38303,2.16394,Private room,2,1.0,1.0,1.0,99.0,65.0
Ciutat Vella,41.37974,2.17096,Private room,2,1.0,1.0,2.0,89.0,50.0
La Vila Olímpica,41.38799,2.19883,Entire home/apt,4,2.0,3.0,5.0,95.0,150.0
Eixample,41.40644,2.17104,Entire home/apt,6,1.0,3.0,4.0,94.0,69.0
Eixample,41.3991,2.1763,Entire home/apt,2,1.0,1.0,1.0,100.0,60.0
Gràcia,41.40819,2.16378,Entire home/apt,5,1.0,3.0,4.0,78.0,85.0
El Raval,41.38105,2.16459,Entire home/apt,4,1.0,2.0,3.0,93.0,50.0
Vila de Gràcia,41.40559,2.15952,Entire home/apt,8,2.0,4.0,6.0,90.0,200.0
Sant Antoni,41.3751,2.16128,Entire home/apt,5,1.5,2.0,3.0,86.0,79.0
Sants-Montjuïc,41.37449,2.13141,Entire home/apt,4,1.0,2.0,3.0,94.0,80.0
Sant Martí,41.41196,2.21615,Entire home/apt,4,1.0,3.0,3.0,100.0,105.0
Sants-Montjuïc,41.37768,2.13661,Private room,2,1.0,1.0,1.0,96.0,25.0
Sant Martí,41.3974,2.19107,Entire home/apt,2,1.0,0.0,1.0,93.0,130.0
La Nova Esquerra de l'Eixample,41.38901,2.16057,Entire home/apt,6,2.0,3.0,4.0,87.0,120.0
Sants-Montjuïc,41.37289,2.13646,Entire home/apt,2,1.0,1.0,1.0,96.0,95.0
Ciutat Vella,41.38126,2.1751,Private room,4,1.0,1.0,1.0,90.0,180.0
Sant Martí,41.39311,2.18538,Entire home/apt,5,1.0,2.0,4.0,96.0,95.0
Sants-Montjuïc,41.37149,2.1285,Entire home/apt,3,1.0,2.0,2.0,100.0,45.0
Diagonal Mar - La Mar Bella,41.41098,2.21109,Private room,3,1.0,1.0,2.0,93.0,2000.0
Sant Martí,41.39829,2.20686,Entire home/apt,5,2.0,2.0,5.0,95.0,99.0
Eixample,41.37774,2.15424,Private room,2,1.5,1.0,1.0,87.0,29.0
Dreta de l'Eixample,41.39595,2.17087,Entire home/apt,4,2.0,2.0,2.0,100.0,600.0
Gràcia,41.40566,2.15036,Private room,1,1.0,1.0,1.0,93.0,28.0
el Fort Pienc,41.40037,2.17644,Entire home/apt,4,2.0,2.0,3.0,98.0,196.0
Sarrià-Sant Gervasi,41.40845,2.14465,Entire home/apt,2,1.0,0.0,1.0,89.0,75.0
Sants-Montjuïc,41.36686,2.1324,Private room,2,1.0,1.0,2.0,93.0,37.0
Nou Barris,41.45554,2.18395,Private room,2,1.0,1.0,1.0,97.0,40.0
La Sagrada Família,41.40236,2.18153,Private room,2,1.0,1.0,1.0,96.0,43.0
Eixample,41.38867,2.15876,Entire home/apt,6,2.0,2.0,3.0,92.0,110.0
Gràcia,41.4009,2.15602,Private room,2,2.0,1.0,1.0,99.0,41.0
La Sagrada Família,41.40254,2.17689,Entire home/apt,6,1.0,2.0,4.0,94.0,120.0
El Raval,41.3849,2.16945,Private room,1,1.0,1.0,1.0,86.0,45.0
Eixample,41.39307,2.17053,Private room,2,1.5,1.0,1.0,95.0,65.0
El Gòtic,41.38068,2.1799,Entire home/apt,5,1.0,2.0,4.0,92.0,95.0
Eixample,41.39117,2.16315,Entire home/apt,4,2.0,2.0,3.0,96.0,129.0
Dreta de l'Eixample,41.3915,2.16766,Private room,2,2.0,1.0,1.0,97.0,29.0
Vila de Gràcia,41.40436,2.16276,Entire home/apt,5,1.0,2.0,3.0,94.0,130.0
Eixample,41.39931,2.16548,Private room,2,1.0,1.0,2.0,98.0,80.0
el Fort Pienc,41.39947,2.17782,Private room,1,1.0,1.0,1.0,91.0,30.0
Eixample,41.38166,2.15732,Private room,4,1.0,1.0,1.0,98.0,60.0
Ciutat Vella,41.37547,2.16947,Private room,2,1.0,1.0,1.0,100.0,45.0
El Gòtic,41.38037,2.1769,Entire home/apt,2,1.0,0.0,1.0,80.0,30.0
Sant Andreu,41.42714,2.18704,Private room,1,2.0,1.0,1.0,96.0,28.0
El Besòs i el Maresme,41.41378,2.2182,Private room,1,1.0,1.0,0.0,94.0,25.0
Eixample,41.38117,2.15183,Entire home/apt,4,1.0,2.0,4.0,73.0,65.0
Sants-Montjuïc,41.37151,2.16486,Private room,2,1.0,1.0,1.0,100.0,45.0
La Sagrada Família,41.40624,2.17667,Entire home/apt,6,2.0,3.0,3.0,70.0,70.0
Ciutat Vella,41.38845,2.1763,Entire home/apt,2,1.0,1.0,1.0,93.0,41.0
Gràcia,41.40344,2.16243,Private room,1,1.0,0.0,1.0,93.0,40.0
Eixample,41.39075,2.17819,Private room,2,1.5,1.0,1.0,94.0,70.0
Dreta de l'Eixample,41.39098,2.16577,Entire home/apt,4,2.0,2.0,3.0,100.0,599.0
Ciutat Vella,41.38014,2.17555,Private room,4,1.0,1.0,3.0,92.0,83.0
Eixample,41.39434,2.17104,Entire home/apt,4,1.0,1.0,2.0,82.0,400.0
Sant Martí,41.39036,2.19948,Entire home/apt,8,2.0,3.0,6.0,89.0,239.0
Sarrià-Sant Gervasi,41.40189,2.14746,Entire home/apt,2,1.0,1.0,1.0,93.0,80.0
Eixample,41.37652,2.14997,Entire home/apt,6,3.0,3.0,4.0,96.0,229.0
Eixample,41.38021,2.15395,Private room,2,2.0,1.0,2.0,81.0,50.0
Ciutat Vella,41.38023,2.18822,Entire home/apt,2,1.0,1.0,1.0,93.0,70.0
Sants-Montjuïc,41.37333,2.16164,Entire home/apt,4,1.0,2.0,2.0,80.0,140.0
El Putget i Farró,41.4052,2.1409,Entire home/apt,4,1.5,2.0,3.0,86.0,160.0
L'Antiga Esquerra de l'Eixample,41.38361,2.14645,Private room,2,2.0,1.0,1.0,93.0,95.0
El Baix Guinardó,41.41197,2.16374,Private room,2,1.5,1.0,2.0,93.0,39.0
Ciutat Vella,41.38432,2.16666,Entire home/apt,5,1.0,2.0,4.0,100.0,70.0
El Born,41.38554,2.1797,Entire home/apt,2,1.0,1.0,1.0,100.0,30.0
Diagonal Mar - La Mar Bella,41.40198,2.20929,Entire home/apt,6,2.0,3.0,6.0,93.0,326.0
Turó de la Peira - Can Peguera,41.43316,2.17176,Private room,2,1.0,1.0,1.0,80.0,35.0
Sants-Montjuïc,41.36908,2.14142,Private room,2,1.0,1.0,1.0,90.0,28.0
Eixample,41.40016,2.17027,Private room,2,1.5,1.0,1.0,98.0,50.0
Gràcia,41.40335,2.15266,Private room,1,2.0,1.0,1.0,93.0,25.0
Ciutat Vella,41.38268,2.17531,Entire home/apt,3,1.0,1.0,1.0,100.0,120.0
Sant Martí,41.40405,2.20499,Private room,2,1.0,1.0,1.0,93.0,40.0
